./tests/run_tests.sh
[SKIP] test_func.c: EXPECT コメントなし
[PASS] test38.c (関数定義（複合テスト）) => 100
[PASS] test39.c (関数定義（複合テスト）) => 1
[PASS] test40.c (関数定義（複合テスト）) => 55
[PASS] test41.c (関数定義（引数を使用）) => 42
[PASS] test42.c (関数定義（引数を使用）) => 8
[PASS] test43.c (関数定義（引数を使用）) => 5
[PASS] test44.c (関数定義（引数を使用）) => 15
[PASS] test45.c (関数定義（引数を使用）) => 20
[PASS] test46.c (関数定義（引数を使用）) => 55
[PASS] test47.c (単項演算子（&, *）) => 3
[PASS] test48.c (単項演算子（&, *）) => 20
[PASS] test49.c (単項演算子（&, *）) => 30
[PASS] test50.c (単項演算子（&, *）) => 5
[PASS] test51.c (単項演算子（&, *）) => 3
[PASS] test52.c (単項演算子（&, *）) => 77
[PASS] test53.c (単項演算子（&, *）) => 4
[PASS] test54.c (ポインタ型変数) => 3
[PASS] test55.c (ポインタ型変数) => 42
[PASS] test56.c (ポインタ型変数) => 99
[PASS] test57.c (ポインタ型変数) => 7
[PASS] test58.c (ポインタ型変数) => 5
[PASS] test59.c (ポインタ型変数) => 88
[PASS] test60.c (ポインタ型変数) => 30
[PASS] test61.c (ポインタ型変数) => 15
[PASS] test62.c (ポインタ型変数（初期化なし宣言）) => 0
[PASS] test63.c (ポインタ型変数（初期化なし宣言）) => 0
[PASS] test64.c (ポインタ型変数（初期化なし宣言）) => 5
[PASS] test65.c (ポインタ型変数（初期化なし宣言）) => 3
[PASS] test66.c (ポインタ型変数（初期化なし宣言）) => 10
[PASS] test67.c (関数引数にポインタ型) => 42
[PASS] test68.c (関数引数にポインタ型) => 99
[PASS] test69.c (関数引数にポインタ型) => 30
[PASS] test70.c (関数引数にポインタ型) => 5
[PASS] test71.c (関数引数にポインタ型) => 3
[PASS] test72.c (sizeof(ポインタ型)) => 8
[PASS] test73.c (sizeof(ポインタ型)) => 8
[PASS] test74.c (sizeof(ポインタ型)) => 4
[PASS] test75.c (sizeof(ポインタ型)) => 4
[PASS] test76.c (sizeof(ポインタ型)) => 4
[PASS] test77.c (sizeof(ポインタ型)) => 8
[PASS] test78.c (sizeof(ポインタ型)) => 1
[PASS] test79.c (char型変数) => 5
[PASS] test80.c (char型変数) => 10
[PASS] test81.c (char型変数) => 4
[PASS] test82.c (char型変数) => 6
[PASS] test83.c (char型変数) => 5
[PASS] test84.c (char型変数) => 30
[PASS] test85.c (char型変数) => 200
[PASS] test86.c (char型変数) => 99
[PASS] test87.c (char型変数) => 3
[PASS] test88.c (char型変数) => 20
[PASS] test89.c (char型変数) => 10
[PASS] test90.c (char型変数) => 1
[PASS] test91.c (char型変数) => 1
[PASS] test92.c (char型ポインタ) => 7
[PASS] test93.c (char型ポインタ) => 50
[PASS] test94.c (char型ポインタ) => 33
[PASS] test95.c (sizeof(char関連)) => 1
[PASS] test96.c (sizeof(char関連)) => 1
[PASS] test97.c (sizeof(char関連)) => 8
[PASS] test98.c (sizeof(char関連)) => 8
[PASS] test99.c (int/char/ptr サイズの混在確認) => 1
[PASS] test100.c (int/char/ptr サイズの混在確認) => 55
[PASS] test101.c (int/char/ptr サイズの混在確認) => 15
[PASS] test102.c (配列の定義) => 0
[PASS] test103.c (配列の定義) => 0
[PASS] test104.c (配列の定義) => 5
[PASS] test105.c (配列の定義) => 10
[PASS] test106.c (配列の定義) => 5
[PASS] test107.c (配列の定義) => 0
[PASS] test108.c (配列の定義) => 42
[PASS] test109.c (配列の定義) => 0
[PASS] test110.c (配列の定義) => 7
[PASS] test111.c (配列の定義) => 1
[PASS] test112.c (配列の定義) => 1
[PASS] test113.c (配列の定義) => 10
[PASS] test114.c (配列の定義) => 1
[PASS] test115.c (配列の定義) => 10
[PASS] test116.c (配列の定義) => 30
[PASS] test117.c (配列の定義) => 77
[PASS] test118.c (配列の定義) => 55
[PASS] test119.c (配列からポインタへの暗黙変換) => 3
[PASS] test120.c (配列からポインタへの暗黙変換) => 60
[PASS] test121.c (配列からポインタへの暗黙変換) => 1
[PASS] test122.c (配列からポインタへの暗黙変換) => 176
[PASS] test123.c (配列からポインタへの暗黙変換) => 6
[PASS] test124.c (配列からポインタへの暗黙変換) => 10
[PASS] test125.c (配列からポインタへの暗黙変換) => 10
[PASS] test126.c (配列からポインタへの暗黙変換) => 15
[PASS] test127.c (配列からポインタへの暗黙変換) => 99
[PASS] test128.c (配列からポインタへの暗黙変換) => 30
[PASS] test129.c (配列からポインタへの暗黙変換) => 42
[PASS] test130.c (配列からポインタへの暗黙変換) => 20
[PASS] test131.c (配列からポインタへの暗黙変換) => 1
[PASS] test132.c (配列からポインタへの暗黙変換) => 3
[PASS] test133.c (配列からポインタへの暗黙変換) => 2
[PASS] test134.c (グローバル変数) => 1
[PASS] test135.c (グローバル変数) => 42
[PASS] test136.c (グローバル変数) => 0
[PASS] test137.c (グローバル変数) => 30
[PASS] test138.c (グローバル変数) => 6
[PASS] test139.c (グローバル変数) => 99
[PASS] test140.c (グローバル変数) => 10
[PASS] test141.c (グローバル変数) => 1
[PASS] test142.c (グローバル変数) => 5
[PASS] test143.c (グローバル変数) => 30
[PASS] test144.c (グローバル変数) => 10
[PASS] test145.c (グローバル変数) => 42
[PASS] test146.c (グローバル変数) => 100
[PASS] test147.c (グローバル変数) => 15
[PASS] test148.c (グローバル変数) => 7
[PASS] test149.c (グローバル変数) => 25
[PASS] test150.c (グローバル変数) => 5
[PASS] test151.c (グローバル変数) => 15
[PASS] test152.c (グローバル変数) => 50
[PASS] test153.c (グローバル変数（複合テスト）) => 4
[PASS] test154.c (グローバル変数（複合テスト）) => 1
[PASS] test155.c (グローバル変数（複合テスト）) => 8
[PASS] test156.c (グローバル変数（複合テスト）) => 1
[PASS] test157.c (グローバル変数（複合テスト）) => 42
[PASS] test158.c (グローバル変数（複合テスト）) => 99
[PASS] test159.c (グローバル変数（複合テスト）) => 77
[PASS] test160.c (グローバル変数（複合テスト）) => 55
[PASS] test161.c (グローバル変数（複合テスト）) => 50
[PASS] test162.c (グローバル変数（複合テスト）) => 20
[PASS] test163.c (グローバル変数（複合テスト）) => 1
[PASS] test164.c (グローバル変数（複合テスト）) => 10
[PASS] test165.c (グローバル変数（複合テスト）) => 88
[PASS] test166.c (グローバル変数（複合テスト）) => 33
[PASS] test167.c (グローバル変数（複合テスト）) => 77
[PASS] test168.c (グローバル変数（複合テスト）) => 30
[PASS] test169.c (グローバル変数（複合テスト）) => 40
[PASS] test170.c (グローバル変数（複合テスト）) => 30
[PASS] test171.c (グローバル変数（複合テスト）) => 10
[PASS] test172.c (グローバル変数（複合テスト）) => 60
[PASS] test173.c (グローバル変数（複合テスト）) => 100
[PASS] test174.c (ポインタ型グローバル変数) => 0
[PASS] test175.c (ポインタ型グローバル変数) => 42
[PASS] test176.c (ポインタ型グローバル変数) => 99
[PASS] test177.c (ポインタ型グローバル変数) => 77
[PASS] test178.c (ポインタ型グローバル変数) => 10
[PASS] test179.c (ポインタ型グローバル変数) => 55
[PASS] test180.c (ポインタ型グローバル変数) => 3
[PASS] test181.c (ポインタ型グローバル変数) => 25
[PASS] test182.c (ポインタ型グローバル変数) => 8
[PASS] test183.c (ポインタ型グローバル変数) => 20
[PASS] test184.c (ポインタ型グローバル変数) => 30
[PASS] test185.c (ポインタ型返り値の関数) => 42
[PASS] test186.c (ポインタ型返り値の関数) => 99
[PASS] test187.c (ポインタ型返り値の関数) => 7
[PASS] test188.c (ポインタ型返り値の関数) => 10
[PASS] test189.c (ポインタ型返り値の関数) => 20
[PASS] test190.c (ポインタ型返り値の関数) => 5
[PASS] test191.c (ポインタ型返り値の関数) => 30
[PASS] test192.c (ポインタ型返り値の関数) => 77
[PASS] test193.c (ポインタ型返り値の関数) => 55
[PASS] test194.c (ポインタ型返り値の関数) => 15
[PASS] test195.c (ポインタ型返り値の関数) => 1
[PASS] test196.c (ポインタ型返り値の関数) => 7
[PASS] test197.c (ポインタ型返り値の関数) => 0
[PASS] test198.c (ポインタ型返り値の関数) => 6
[PASS] test199.c (ポインタ型返り値の関数) => 99
[PASS] test200.c (ポインタ型返り値の関数) => 1
[PASS] test201.c (ポインタ型返り値の関数) => 10
[PASS] test202.c (ポインタ型返り値の関数) => 7
[PASS] test203.c (ポインタ型返り値の関数) => 6
[PASS] test204.c (ポインタ型返り値の関数) => 0
[PASS] test205.c (ポインタ型返り値の関数) => 5
[PASS] test206.c (文字定数) => 97
[PASS] test207.c (文字定数) => 65
[PASS] test208.c (文字定数) => 122
[PASS] test209.c (文字定数) => 48
